기준년월,기초지자체,방문자 구분,방문자 수
202406,울주군,외지인방문자(b),2862643.0
202406,울주군,전체방문자(a+b),6713710.0
202406,울주군,현지인방문자(a),3851068.0
202407,울주군,외지인방문자(b),3031217.0
202407,울주군,전체방문자(a+b),6969876.0
202407,울주군,현지인방문자(a),3938658.0
202408,울주군,외지인방문자(b),3328542.0
202408,울주군,전체방문자(a+b),7179994.0
202408,울주군,현지인방문자(a),3851452.0
202409,울주군,외지인방문자(b),3139647.0
202409,울주군,전체방문자(a+b),6918762.0
202409,울주군,현지인방문자(a),3779114.0
202410,울주군,외지인방문자(b),3127176.0
202410,울주군,전체방문자(a+b),7167265.0
202410,울주군,현지인방문자(a),4040088.0
202411,울주군,외지인방문자(b),2972336.0
202411,울주군,전체방문자(a+b),6885862.0
202411,울주군,현지인방문자(a),3913525.0
202412,울주군,외지인방문자(b),2839932.0
202412,울주군,전체방문자(a+b),6995426.0
202412,울주군,현지인방문자(a),4155494.0
202501,울주군,외지인방문자(b),3145874.0
202501,울주군,전체방문자(a+b),7139384.0
202501,울주군,현지인방문자(a),3993510.0
202502,울주군,외지인방문자(b),2621644.0
202502,울주군,전체방문자(a+b),6293959.0
202502,울주군,현지인방문자(a),3672316.0
202503,울주군,외지인방문자(b),3162982.0
202503,울주군,전체방문자(a+b),7151736.0
202503,울주군,현지인방문자(a),3988754.0
202504,울주군,외지인방문자(b),2901356.0
202504,울주군,전체방문자(a+b),6945228.0
202504,울주군,현지인방문자(a),4043872.0
202505,울주군,외지인방문자(b),3396620.0
202505,울주군,전체방문자(a+b),7609438.0
202505,울주군,현지인방문자(a),4212817.0
