기준년월,기초지자체,방문자 구분,방문자 수
202406,성남시,외지인방문자(b),1.1704192E7
202406,성남시,전체방문자(a+b),2.8279524E7
202406,성남시,현지인방문자(a),1.6575332E7
202407,성남시,외지인방문자(b),1.201284E7
202407,성남시,전체방문자(a+b),2.9055792E7
202407,성남시,현지인방문자(a),1.7042952E7
202408,성남시,외지인방문자(b),1.1762464E7
202408,성남시,전체방문자(a+b),2.8216146E7
202408,성남시,현지인방문자(a),1.6453682E7
202409,성남시,외지인방문자(b),1.218476E7
202409,성남시,전체방문자(a+b),2.8302925E7
202409,성남시,현지인방문자(a),1.6118165E7
202410,성남시,외지인방문자(b),1.2651779E7
202410,성남시,전체방문자(a+b),3.0086626E7
202410,성남시,현지인방문자(a),1.7434848E7
202411,성남시,외지인방문자(b),1.1717622E7
202411,성남시,전체방문자(a+b),2.85005E7
202411,성남시,현지인방문자(a),1.6782878E7
202412,성남시,외지인방문자(b),1.193933E7
202412,성남시,전체방문자(a+b),2.8837046E7
202412,성남시,현지인방문자(a),1.6897716E7
202501,성남시,외지인방문자(b),1.1439218E7
202501,성남시,전체방문자(a+b),2.7589748E7
202501,성남시,현지인방문자(a),1.615053E7
202502,성남시,외지인방문자(b),1.1021241E7
202502,성남시,전체방문자(a+b),2.6191784E7
202502,성남시,현지인방문자(a),1.5170544E7
202503,성남시,외지인방문자(b),1.3118749E7
202503,성남시,전체방문자(a+b),2.9687542E7
202503,성남시,현지인방문자(a),1.6568794E7
202504,성남시,외지인방문자(b),1.177938E7
202504,성남시,전체방문자(a+b),2.8495932E7
202504,성남시,현지인방문자(a),1.6716553E7
202505,성남시,외지인방문자(b),1.3283326E7
202505,성남시,전체방문자(a+b),3.0733E7
202505,성남시,현지인방문자(a),1.7449674E7
