기준년월,기초지자체,방문자 구분,방문자 수
202406,이천시,외지인방문자(b),2896078.0
202406,이천시,전체방문자(a+b),7159310.0
202406,이천시,현지인방문자(a),4263231.0
202407,이천시,외지인방문자(b),2845052.0
202407,이천시,전체방문자(a+b),7208246.0
202407,이천시,현지인방문자(a),4363194.0
202408,이천시,외지인방문자(b),3067932.0
202408,이천시,전체방문자(a+b),7291190.0
202408,이천시,현지인방문자(a),4223258.0
202409,이천시,외지인방문자(b),3168277.0
202409,이천시,전체방문자(a+b),7276619.0
202409,이천시,현지인방문자(a),4108342.0
202410,이천시,외지인방문자(b),3223472.0
202410,이천시,전체방문자(a+b),7579152.0
202410,이천시,현지인방문자(a),4355680.0
202411,이천시,외지인방문자(b),2934624.0
202411,이천시,전체방문자(a+b),7104458.0
202411,이천시,현지인방문자(a),4169834.0
202412,이천시,외지인방문자(b),2753408.0
202412,이천시,전체방문자(a+b),6938869.0
202412,이천시,현지인방문자(a),4185461.0
202501,이천시,외지인방문자(b),2903621.0
202501,이천시,전체방문자(a+b),6897828.0
202501,이천시,현지인방문자(a),3994207.0
202502,이천시,외지인방문자(b),2607332.0
202502,이천시,전체방문자(a+b),6382775.0
202502,이천시,현지인방문자(a),3775443.0
202503,이천시,외지인방문자(b),3137071.0
202503,이천시,전체방문자(a+b),7301354.0
202503,이천시,현지인방문자(a),4164282.0
202504,이천시,외지인방문자(b),2810168.0
202504,이천시,전체방문자(a+b),7081928.0
202504,이천시,현지인방문자(a),4271760.0
202505,이천시,외지인방문자(b),3352044.0
202505,이천시,전체방문자(a+b),7895794.0
202505,이천시,현지인방문자(a),4543749.0
