기준년월,기초지자체,방문자 구분,방문자 수
202406,부천시,외지인방문자(b),8122989.0
202406,부천시,전체방문자(a+b),1.9857369E7
202406,부천시,현지인방문자(a),1.173438E7
202407,부천시,외지인방문자(b),8438052.0
202407,부천시,전체방문자(a+b),2.058581E7
202407,부천시,현지인방문자(a),1.2147758E7
202408,부천시,외지인방문자(b),8196772.0
202408,부천시,전체방문자(a+b),1.997176E7
202408,부천시,현지인방문자(a),1.1774987E7
202409,부천시,외지인방문자(b),8548348.0
202409,부천시,전체방문자(a+b),2.012577E7
202409,부천시,현지인방문자(a),1.1577422E7
202410,부천시,외지인방문자(b),9099027.0
202410,부천시,전체방문자(a+b),2.1740852E7
202410,부천시,현지인방문자(a),1.2641825E7
202411,부천시,외지인방문자(b),8312258.0
202411,부천시,전체방문자(a+b),2.0412987E7
202411,부천시,현지인방문자(a),1.2100728E7
202412,부천시,외지인방문자(b),8516690.0
202412,부천시,전체방문자(a+b),2.0767324E7
202412,부천시,현지인방문자(a),1.2250634E7
202501,부천시,외지인방문자(b),8606423.0
202501,부천시,전체방문자(a+b),2.062768E7
202501,부천시,현지인방문자(a),1.2021258E7
202502,부천시,외지인방문자(b),7717983.0
202502,부천시,전체방문자(a+b),1.8897158E7
202502,부천시,현지인방문자(a),1.1179175E7
202503,부천시,외지인방문자(b),9415514.0
202503,부천시,전체방문자(a+b),2.1741374E7
202503,부천시,현지인방문자(a),1.2325859E7
202504,부천시,외지인방문자(b),8475936.0
202504,부천시,전체방문자(a+b),2.0696008E7
202504,부천시,현지인방문자(a),1.2220072E7
202505,부천시,외지인방문자(b),9821290.0
202505,부천시,전체방문자(a+b),2.290457E7
202505,부천시,현지인방문자(a),1.308328E7
