기준년월,기초지자체,방문자 구분,방문자 수
202406,천안시,외지인방문자(b),6606036.0
202406,천안시,전체방문자(a+b),1.460157E7
202406,천안시,현지인방문자(a),7995533.0
202407,천안시,외지인방문자(b),6524609.0
202407,천안시,전체방문자(a+b),1.438823E7
202407,천안시,현지인방문자(a),7863622.0
202408,천안시,외지인방문자(b),6842584.0
202408,천안시,전체방문자(a+b),1.4465486E7
202408,천안시,현지인방문자(a),7622902.0
202409,천안시,외지인방문자(b),7276132.0
202409,천안시,전체방문자(a+b),1.4829482E7
202409,천안시,현지인방문자(a),7553350.0
202410,천안시,외지인방문자(b),7171076.0
202410,천안시,전체방문자(a+b),1.5758054E7
202410,천안시,현지인방문자(a),8586977.0
202411,천안시,외지인방문자(b),6824923.0
202411,천안시,전체방문자(a+b),1.5592619E7
202411,천안시,현지인방문자(a),8767696.0
202412,천안시,외지인방문자(b),6753184.0
202412,천안시,전체방문자(a+b),1.5753703E7
202412,천안시,현지인방문자(a),9000520.0
202501,천안시,외지인방문자(b),6535753.0
202501,천안시,전체방문자(a+b),1.4763256E7
202501,천안시,현지인방문자(a),8227502.0
202502,천안시,외지인방문자(b),6201321.0
202502,천안시,전체방문자(a+b),1.3960804E7
202502,천안시,현지인방문자(a),7759482.0
202503,천안시,외지인방문자(b),7809218.0
202503,천안시,전체방문자(a+b),1.6097616E7
202503,천안시,현지인방문자(a),8288399.0
202504,천안시,외지인방문자(b),6637992.0
202504,천안시,전체방문자(a+b),1.5100953E7
202504,천안시,현지인방문자(a),8462962.0
202505,천안시,외지인방문자(b),7799659.0
202505,천안시,전체방문자(a+b),1.7041276E7
202505,천안시,현지인방문자(a),9241617.0
