기준년월,기초지자체,방문자 구분,방문자 수
202406,논산시,외지인방문자(b),1349904.0
202406,논산시,전체방문자(a+b),3534696.0
202406,논산시,현지인방문자(a),2184791.0
202407,논산시,외지인방문자(b),1333654.0
202407,논산시,전체방문자(a+b),3516440.0
202407,논산시,현지인방문자(a),2182786.0
202408,논산시,외지인방문자(b),1403584.0
202408,논산시,전체방문자(a+b),3511980.0
202408,논산시,현지인방문자(a),2108396.0
202409,논산시,외지인방문자(b),1520036.0
202409,논산시,전체방문자(a+b),3586681.0
202409,논산시,현지인방문자(a),2066645.0
202410,논산시,외지인방문자(b),1466196.0
202410,논산시,전체방문자(a+b),3646153.0
202410,논산시,현지인방문자(a),2179958.0
202411,논산시,외지인방문자(b),1382129.0
202411,논산시,전체방문자(a+b),3478146.0
202411,논산시,현지인방문자(a),2096017.0
202412,논산시,외지인방문자(b),1206474.0
202412,논산시,전체방문자(a+b),3289520.0
202412,논산시,현지인방문자(a),2083046.0
202501,논산시,외지인방문자(b),1352096.0
202501,논산시,전체방문자(a+b),3298988.0
202501,논산시,현지인방문자(a),1946892.0
202502,논산시,외지인방문자(b),1199894.0
202502,논산시,전체방문자(a+b),3042326.0
202502,논산시,현지인방문자(a),1842432.0
202503,논산시,외지인방문자(b),1600224.0
202503,논산시,전체방문자(a+b),3558538.0
202503,논산시,현지인방문자(a),1958313.0
202504,논산시,외지인방문자(b),1419635.0
202504,논산시,전체방문자(a+b),3550208.0
202504,논산시,현지인방문자(a),2130572.0
202505,논산시,외지인방문자(b),1672643.0
202505,논산시,전체방문자(a+b),3927791.0
202505,논산시,현지인방문자(a),2255148.0
