기준년월,기초지자체,방문자 구분,방문자 수
202406,전주시,외지인방문자(b),5795594.0
202406,전주시,전체방문자(a+b),1.7148554E7
202406,전주시,현지인방문자(a),1.135296E7
202407,전주시,외지인방문자(b),5909386.0
202407,전주시,전체방문자(a+b),1.741153E7
202407,전주시,현지인방문자(a),1.1502144E7
202408,전주시,외지인방문자(b),6057818.0
202408,전주시,전체방문자(a+b),1.7188808E7
202408,전주시,현지인방문자(a),1.113099E7
202409,전주시,외지인방문자(b),6522576.0
202409,전주시,전체방문자(a+b),1.7449058E7
202409,전주시,현지인방문자(a),1.0926482E7
202410,전주시,외지인방문자(b),6234050.0
202410,전주시,전체방문자(a+b),1.8036784E7
202410,전주시,현지인방문자(a),1.1802735E7
202411,전주시,외지인방문자(b),6109593.0
202411,전주시,전체방문자(a+b),1.780976E7
202411,전주시,현지인방문자(a),1.1700168E7
202412,전주시,외지인방문자(b),6127604.0
202412,전주시,전체방문자(a+b),1.7981582E7
202412,전주시,현지인방문자(a),1.1853978E7
202501,전주시,외지인방문자(b),6241102.0
202501,전주시,전체방문자(a+b),1.742091E7
202501,전주시,현지인방문자(a),1.1179808E7
202502,전주시,외지인방문자(b),5566274.0
202502,전주시,전체방문자(a+b),1.6035635E7
202502,전주시,현지인방문자(a),1.0469361E7
202503,전주시,외지인방문자(b),6893551.0
202503,전주시,전체방문자(a+b),1.8409979E7
202503,전주시,현지인방문자(a),1.1516428E7
202504,전주시,외지인방문자(b),5915038.0
202504,전주시,전체방문자(a+b),1.7332791E7
202504,전주시,현지인방문자(a),1.1417752E7
202505,전주시,외지인방문자(b),7199420.0
202505,전주시,전체방문자(a+b),1.942354E7
202505,전주시,현지인방문자(a),1.2224121E7
