기준년월,기초지자체,방문자 구분,방문자 수
202406,남원시,외지인방문자(b),811132.0
202406,남원시,전체방문자(a+b),2460017.0
202406,남원시,현지인방문자(a),1648885.0
202407,남원시,외지인방문자(b),866502.0
202407,남원시,전체방문자(a+b),2536863.0
202407,남원시,현지인방문자(a),1670361.0
202408,남원시,외지인방문자(b),1077898.0
202408,남원시,전체방문자(a+b),2713224.0
202408,남원시,현지인방문자(a),1635326.0
202409,남원시,외지인방문자(b),979524.0
202409,남원시,전체방문자(a+b),2594655.0
202409,남원시,현지인방문자(a),1615131.0
202410,남원시,외지인방문자(b),885664.0
202410,남원시,전체방문자(a+b),2575248.0
202410,남원시,현지인방문자(a),1689583.0
202411,남원시,외지인방문자(b),874744.0
202411,남원시,전체방문자(a+b),2493715.0
202411,남원시,현지인방문자(a),1618970.0
202412,남원시,외지인방문자(b),665990.0
202412,남원시,전체방문자(a+b),2293305.0
202412,남원시,현지인방문자(a),1627314.0
202501,남원시,외지인방문자(b),852936.0
202501,남원시,전체방문자(a+b),2401984.0
202501,남원시,현지인방문자(a),1549048.0
202502,남원시,외지인방문자(b),588987.0
202502,남원시,전체방문자(a+b),2038330.0
202502,남원시,현지인방문자(a),1449343.0
202503,남원시,외지인방문자(b),844949.0
202503,남원시,전체방문자(a+b),2480352.0
202503,남원시,현지인방문자(a),1635403.0
202504,남원시,외지인방문자(b),850962.0
202504,남원시,전체방문자(a+b),2482448.0
202504,남원시,현지인방문자(a),1631486.0
202505,남원시,외지인방문자(b),1202719.0
202505,남원시,전체방문자(a+b),2900740.0
202505,남원시,현지인방문자(a),1698022.0
