기준년월,기초지자체,방문자 구분,방문자 수
202406,익산시,외지인방문자(b),1876802.0
202406,익산시,전체방문자(a+b),7869148.0
202406,익산시,현지인방문자(a),5992346.0
202407,익산시,외지인방문자(b),1890794.0
202407,익산시,전체방문자(a+b),7957344.0
202407,익산시,현지인방문자(a),6066550.0
202408,익산시,외지인방문자(b),1960354.0
202408,익산시,전체방문자(a+b),7819721.0
202408,익산시,현지인방문자(a),5859368.0
202409,익산시,외지인방문자(b),2389107.0
202409,익산시,전체방문자(a+b),8227370.0
202409,익산시,현지인방문자(a),5838262.0
202410,익산시,외지인방문자(b),2314630.0
202410,익산시,전체방문자(a+b),8680312.0
202410,익산시,현지인방문자(a),6365681.0
202411,익산시,외지인방문자(b),2151975.0
202411,익산시,전체방문자(a+b),8473434.0
202411,익산시,현지인방문자(a),6321458.0
202412,익산시,외지인방문자(b),2001125.0
202412,익산시,전체방문자(a+b),8353706.0
202412,익산시,현지인방문자(a),6352580.0
202501,익산시,외지인방문자(b),2251728.0
202501,익산시,전체방문자(a+b),8300800.0
202501,익산시,현지인방문자(a),6049071.0
202502,익산시,외지인방문자(b),1779600.0
202502,익산시,전체방문자(a+b),7422730.0
202502,익산시,현지인방문자(a),5643130.0
202503,익산시,외지인방문자(b),2463790.0
202503,익산시,전체방문자(a+b),8720190.0
202503,익산시,현지인방문자(a),6256400.0
202504,익산시,외지인방문자(b),2004636.0
202504,익산시,전체방문자(a+b),8140580.0
202504,익산시,현지인방문자(a),6135944.0
202505,익산시,외지인방문자(b),2509290.0
202505,익산시,전체방문자(a+b),9042470.0
202505,익산시,현지인방문자(a),6533180.0
