기준년월,기초지자체,방문자 구분,방문자 수
202406,경산시,외지인방문자(b),2343632.0
202406,경산시,전체방문자(a+b),6032352.0
202406,경산시,현지인방문자(a),3688720.0
202407,경산시,외지인방문자(b),2258630.0
202407,경산시,전체방문자(a+b),5865010.0
202407,경산시,현지인방문자(a),3606379.0
202408,경산시,외지인방문자(b),2320850.0
202408,경산시,전체방문자(a+b),5740721.0
202408,경산시,현지인방문자(a),3419871.0
202409,경산시,외지인방문자(b),3168120.0
202409,경산시,전체방문자(a+b),6584120.0
202409,경산시,현지인방문자(a),3416000.0
202410,경산시,외지인방문자(b),2429598.0
202410,경산시,전체방문자(a+b),6366622.0
202410,경산시,현지인방문자(a),3937024.0
202411,경산시,외지인방문자(b),2360774.0
202411,경산시,전체방문자(a+b),6505818.0
202411,경산시,현지인방문자(a),4145043.0
202412,경산시,외지인방문자(b),2298194.0
202412,경산시,전체방문자(a+b),6415003.0
202412,경산시,현지인방문자(a),4116808.0
202501,경산시,외지인방문자(b),2434694.0
202501,경산시,전체방문자(a+b),6292629.0
202501,경산시,현지인방문자(a),3857934.0
202502,경산시,외지인방문자(b),2118935.0
202502,경산시,전체방문자(a+b),5824770.0
202502,경산시,현지인방문자(a),3705835.0
202503,경산시,외지인방문자(b),3330708.0
202503,경산시,전체방문자(a+b),7373090.0
202503,경산시,현지인방문자(a),4042381.0
202504,경산시,외지인방문자(b),2262494.0
202504,경산시,전체방문자(a+b),6366728.0
202504,경산시,현지인방문자(a),4104233.0
202505,경산시,외지인방문자(b),2811036.0
202505,경산시,전체방문자(a+b),7285530.0
202505,경산시,현지인방문자(a),4474494.0
