기준년월,기초지자체,방문자 구분,방문자 수
202406,창원시,외지인방문자(b),9031964.0
202406,창원시,전체방문자(a+b),2.511508E7
202406,창원시,현지인방문자(a),1.6083116E7
202407,창원시,외지인방문자(b),9177606.0
202407,창원시,전체방문자(a+b),2.5563118E7
202407,창원시,현지인방문자(a),1.6385512E7
202408,창원시,외지인방문자(b),9214670.0
202408,창원시,전체방문자(a+b),2.511223E7
202408,창원시,현지인방문자(a),1.589756E7
202409,창원시,외지인방문자(b),9860694.0
202409,창원시,전체방문자(a+b),2.5633867E7
202409,창원시,현지인방문자(a),1.5773174E7
202410,창원시,외지인방문자(b),9573960.0
202410,창원시,전체방문자(a+b),2.603616E7
202410,창원시,현지인방문자(a),1.6462201E7
202411,창원시,외지인방문자(b),9243157.0
202411,창원시,전체방문자(a+b),2.5488082E7
202411,창원시,현지인방문자(a),1.6244924E7
202412,창원시,외지인방문자(b),9450042.0
202412,창원시,전체방문자(a+b),2.6397091E7
202412,창원시,현지인방문자(a),1.6947049E7
202501,창원시,외지인방문자(b),9901944.0
202501,창원시,전체방문자(a+b),2.6087904E7
202501,창원시,현지인방문자(a),1.618596E7
202502,창원시,외지인방문자(b),8382020.0
202502,창원시,전체방문자(a+b),2.3480342E7
202502,창원시,현지인방문자(a),1.5098321E7
202503,창원시,외지인방문자(b),1.015042E7
202503,창원시,전체방문자(a+b),2.6756275E7
202503,창원시,현지인방문자(a),1.6605855E7
202504,창원시,외지인방문자(b),9150768.0
202504,창원시,전체방문자(a+b),2.5610868E7
202504,창원시,현지인방문자(a),1.6460101E7
202505,창원시,외지인방문자(b),1.0513016E7
202505,창원시,전체방문자(a+b),2.7719444E7
202505,창원시,현지인방문자(a),1.7206427E7
