기준년월,기초지자체,방문자 구분,방문자 수
202406,서초구,외지인방문자(b),1.3777158E7
202406,서초구,전체방문자(a+b),2.3543947E7
202406,서초구,현지인방문자(a),9766788.0
202407,서초구,외지인방문자(b),1.429252E7
202407,서초구,전체방문자(a+b),2.4539249E7
202407,서초구,현지인방문자(a),1.024673E7
202408,서초구,외지인방문자(b),1.3728368E7
202408,서초구,전체방문자(a+b),2.3428556E7
202408,서초구,현지인방문자(a),9700187.0
202409,서초구,외지인방문자(b),1.3846816E7
202409,서초구,전체방문자(a+b),2.3381774E7
202409,서초구,현지인방문자(a),9534959.0
202410,서초구,외지인방문자(b),1.5482372E7
202410,서초구,전체방문자(a+b),2.5759188E7
202410,서초구,현지인방문자(a),1.0276816E7
202411,서초구,외지인방문자(b),1.4876866E7
202411,서초구,전체방문자(a+b),2.5066825E7
202411,서초구,현지인방문자(a),1.018996E7
202412,서초구,외지인방문자(b),1.5575634E7
202412,서초구,전체방문자(a+b),2.6081482E7
202412,서초구,현지인방문자(a),1.0505848E7
202501,서초구,외지인방문자(b),1.4055076E7
202501,서초구,전체방문자(a+b),2.3871438E7
202501,서초구,현지인방문자(a),9816362.0
202502,서초구,외지인방문자(b),1.4188514E7
202502,서초구,전체방문자(a+b),2.3717166E7
202502,서초구,현지인방문자(a),9528652.0
202503,서초구,외지인방문자(b),1.577759E7
202503,서초구,전체방문자(a+b),2.6068266E7
202503,서초구,현지인방문자(a),1.0290676E7
202504,서초구,외지인방문자(b),1.5152802E7
202504,서초구,전체방문자(a+b),2.5806798E7
202504,서초구,현지인방문자(a),1.0653996E7
202505,서초구,외지인방문자(b),1.6509244E7
202505,서초구,전체방문자(a+b),2.7248753E7
202505,서초구,현지인방문자(a),1.0739508E7
