명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,주최자 정보,주최자 연락처,주관사 정보,주관사 연락처,행사시작일,행사종료일,공연시간,행사장소,이벤트 홈페이지,이용요금,할인정보,관람소요시간,관람가능연령,예매처,행사장 위치안내,부대행사,프로그램,상세정보,진행형태,축제형태
청양 고추 구기자 축제,33303.0,청양군,041-940-4852,충청남도 청양군 청양읍 은천동길 16-6백세건강공원,36.4460221385,126.7975542558,"가을의 시작과 함께 열리는 청양 고추 구기자 축제는 전 연령층이 함께 할 수 있는 참여형 축제로, 청양군을 대표하는 농특산물인 고추, 구기자를 활용한 오감 만족 체험과 전국 청양가요제, 전국 K-pop 경연대회, 요리경연대회 등 다양한 프로그램으로 구성된 충청남도 대표 지역축제이다.",청양군,041-940-4852,청양고추구기자축제 추진위원회,,20250919,20250921,09:00~21:00,백세건강공원,,무료,,,,,,,,"행사소개:가을의 시작과 함께 열리는 청양 고추 구기자 축제는 전 연령층이 함께 할 수 있는 참여형 축제로, 청양군을 대표하는 농특산물인 고추, 구기자를 활용한 오감 만족 체험과 전국 청양가요제, 전국 K-pop 경연대회, 요리경연대회 등 다양한 프로그램으로 구성된 충청남도 대표 지역축제이다.
행사내용:마켓 zone : 고추구기자 판매부스, 지역 농특산물 판매 부스, 빨간맛 푸드코트, 요리체험 등<br>
문화 zone : 세계 고추 구기자 전시관, 지천변 포토존, 세월교 고추터널, 야간경관 조성 등<br>
체험 zone : 고추구기자 포토부스, 어린이 목재 체험부스, 안전체험, 구기자 고추장 만들기 체험 등<br>
이벤트 zone : 천원의 행복 고추를 담아라, 고추탑 쌓기, 제빵 경연대회, K-pop경연대회, 전국 청양가요제 등
",선택안함,선택안함
여주오곡나루축제,12613.0,여주시,031-881-9692,경기도 여주시 천송동290-3,37.299172526,127.655772742,"*하기 축제 내용은 전년도(2024년) 축제 내용으로, 2025년도 축제 내용은 업데이트 중에 있습니다.*<br><br>여주오곡나루축제는 여주가 자랑하는 우수한 농특산물을 홍보하고, 조선시대 나루터를 이용해 여주의 농특산물을 왕에게 진상했던 역사적 배경을 바탕으로 옛 나루터의 정취를 재현해 여주의 맛과 멋을 즐길 수 있도록 한 축제이다.",여주시,031-881-9692,여주세종문화관광재단,,20251031,20251102,10:00~21:00,여주 신륵사 관광지 일원,,무료,,,,,,,,"행사소개:*하기 축제 내용은 전년도(2024년) 축제 내용으로, 2025년도 축제 내용은 업데이트 중에 있습니다.*<br><br>여주오곡나루축제는 여주가 자랑하는 우수한 농특산물을 홍보하고, 조선시대 나루터를 이용해 여주의 농특산물을 왕에게 진상했던 역사적 배경을 바탕으로 옛 나루터의 정취를 재현해 여주의 맛과 멋을 즐길 수 있도록 한 축제이다.
행사내용:1. 대표 프로그램 <br>
- 진상퍼레이드 : 조포나루에서 한양으로 진상품 및 오곡을 운송하는 과정을 길놀이로 재현한 퍼레이드<br>
- 가마솥 여주쌀·오곡 비빔밥 : 20개의 대형 가마솥 장작불을 활용하여 지은 여주 쌀, 오곡 비빔밥을 저렴한 가격에 맛볼 수 있는 프로그램<br>
- 군고구마 기네스 : 50m 길이의 초대형 군고구마통 장작불에 2,000여 명이 여주 고구마를 직접 구워 먹는 대형 퍼포먼스<br>
- 소원지 길 : 남한강을 바라보며 소원을 빌면 이루어진다는 설화를 바탕으로 500m 새끼줄에 소원을 매다는 프로그램<br><br>

2. 축제 프로그램 구성 <br>
- 나루마당 : 수상 멀티미디어쇼, 낙화놀이, 수상 불꽃놀이, LED 풍등 띄우기, 강변 주막<br>
- 오곡마당 : 군고구마기네스, 오곡장터(여주 농산물 홍보 및 판매), 농촌관광 체험, 오곡공연장<br>
- 잔치마당 : 가마솥 여주쌀오곡비빔밥 체험, 먹거리 장터, 가양주품평회
",선택안함,선택안함
고양국제꽃박람회,10400.0,"고양특례시, (재)고양국제꽃박람회",031-908-7750,경기도 고양시 일산동구 호수로 595고양시 일산호수공원,37.6539736577,126.7686849202,"고양국제꽃박람회의 주제는 ‘꽃, 상상 그리고 향기’이다. 국내외 25개국, 200여 개 화훼 기관·단체·협회·업체 참여와 실내 화훼 전시 및 야외 전시 연출, 고양시 화훼농가 직접 참여하는 플라워마켓, 다양한 공연·이벤트 등이 준비된다. 실내에는 해외 희귀·이색식물, 신품종, 화훼 작품 전시 등 국내외의 다양한 화훼 문화를 선보이며, 글로벌 화훼 작가 작품전 등 특별한 전시가 펼쳐진다. 야외에는 남녀노소 체험하며 몰입할 수 있는 전시 콘텐츠 등 올해는 단순한 전시가 아닌 이색 대형 정원과 장미원 등의 다양한 봄꽃을 만끽할 수 있도록 조성된다.","고양특례시, (재)고양국제꽃박람회",031-908-7750,(재)고양국제꽃박람회,,20250425,20250511,09:00 ~ 19:00,고양시 일산호수공원,,유료,,,,,,,,"행사소개:고양국제꽃박람회의 주제는 ‘꽃, 상상 그리고 향기’이다. 국내외 25개국, 200여 개 화훼 기관·단체·협회·업체 참여와 실내 화훼 전시 및 야외 전시 연출, 고양시 화훼농가 직접 참여하는 플라워마켓, 다양한 공연·이벤트 등이 준비된다. 실내에는 해외 희귀·이색식물, 신품종, 화훼 작품 전시 등 국내외의 다양한 화훼 문화를 선보이며, 글로벌 화훼 작가 작품전 등 특별한 전시가 펼쳐진다. 야외에는 남녀노소 체험하며 몰입할 수 있는 전시 콘텐츠 등 올해는 단순한 전시가 아닌 이색 대형 정원과 장미원 등의 다양한 봄꽃을 만끽할 수 있도록 조성된다.
행사내용:1. 공연 및 이벤트 프로그램<br>
  - 개막식 : 2025. 4. 25.(금) / 특별가수 초청공연 : 날짜 미정<br>
  - 인디밴드 공연, 마술, 군악대, 태권도 시범단 등 더 화려해진 공연들과 관람객이 함께 경험하는 이벤트<br><br>
2. 화훼산업컨퍼런스 : 화훼 산업의 현안과 국제 산업 트렌드를 공유하는 산업 컨퍼런스(학술대회)<br><br>
3. 글로벌 화예작가 작품전 : 5개국 5인의 화예 작가가 선보이는 창의적인 화훼 공간 ‘펜타플로라(글로벌 화예 작가 작품전)’<br><br>
4. 고양 플라워마켓 : 고양시 화훼농가 직거래장터와 이색 소품, 농·특산물 판매장<br><br>
5. 분야별 화훼예술 콘테스트 : 화훼예술 경연대회, IHK컵 플라워디자인 기능경기대회, 한국꽃꽂이대회, 어린이 꽃장식 대회, 프리저브드플라워 경진대회 등 다채로운 화훼예술 콘테스트<br><br>
*요금<br>
1. 사전예매<br>
보통권: 일반권 11,000원 / 우대권 9,000원<br>
고양시민권: 일반권 10,000원 우대권 8,000원<br><br>
2. 현장매표<br>
보통권: 일반권 15,000원 / 우대권 12,000원<br>
고양시민권: 일반권 12,000원 / 우대권 9,000원
",선택안함,선택안함
팔봉산 감자축제,31923.0,팔봉산감자축제추진위원회,041-660-3451,충청남도 서산시 팔봉면 팔봉산로 91팔봉산 어울림마당,36.8175830205,126.365466722,"서산팔봉산감자축제는 감자축제 전용 축제장인 팔봉산 어울림마당(팔봉면 양길리 827번지 일원)에서 진행되는 축제이다. 팔봉면 주민이 주체가 되어 주민주도형 축제로 강화되었으며, 팔봉산 감자와 지역 농특산물의 우수성을 홍보하고, 지역 이미지를 제고하는 홍보의 장을 마련하기 위한 축제이다.
감자와 지역 특산물을 이용한 특색있는 먹거리 코너뿐 아니라 가마솥 찐감자, 버터감자 등 무료시식 코너를 통해 먹거리 축제로 장착해가고 있다. 감자탑, 감자품종 전시 등 다양한 볼거리와, 포토존, 농특산물 판매장, 감자캐기 체험 등 즐길거리 프로그램으로 구성되어 있다. 감자골 노래자랑, 감자 이색 게임 등 관광객들이 즐길 프로그램이 다양하고, 관내 중학교(팔봉중학교)와 연계한 체험 부스도 운영하고 있다.",팔봉산감자축제추진위원회,041-660-3451,,,20250621,20250622,10:30~18:00,,,무료,,,,,,,,"행사소개:서산팔봉산감자축제는 감자축제 전용 축제장인 팔봉산 어울림마당(팔봉면 양길리 827번지 일원)에서 진행되는 축제이다. 팔봉면 주민이 주체가 되어 주민주도형 축제로 강화되었으며, 팔봉산 감자와 지역 농특산물의 우수성을 홍보하고, 지역 이미지를 제고하는 홍보의 장을 마련하기 위한 축제이다.
감자와 지역 특산물을 이용한 특색있는 먹거리 코너뿐 아니라 가마솥 찐감자, 버터감자 등 무료시식 코너를 통해 먹거리 축제로 장착해가고 있다. 감자탑, 감자품종 전시 등 다양한 볼거리와, 포토존, 농특산물 판매장, 감자캐기 체험 등 즐길거리 프로그램으로 구성되어 있다. 감자골 노래자랑, 감자 이색 게임 등 관광객들이 즐길 프로그램이 다양하고, 관내 중학교(팔봉중학교)와 연계한 체험 부스도 운영하고 있다.
행사내용:1. 먹 거 리 : 팔봉산 감자요리, 가마솥 찐감자·버터감자 무료시식 등<br>
2. 즐길거리 : 감자캐기체험, 농특산물 즉석경매, 감자 이색게임, 노래자랑, 황금감자찾기, 물고기잡기, 물풍선 던지기 등 <br>
3. 공연행사 : 초청가수(유지우, 최정선, 세컨드), 평양예술단, 문화복지센터 공연 등<br>
4. 기타 : 감자탑, 감자품종전시, 감자요리전시, 페이스타투 등 
",선택안함,선택안함
봉화은어축제,36238.0,봉화축제관광재단,054-674-3053,경상북도 봉화군 봉화읍 내성리506번지 봉화군 봉화읍 내성천 일원,36.8885482998,128.7368265408,"봉화은어축제는 은어를 테마로 한 이색 여름 물놀이 축제이다. 맑은 계곡과 청정 자연을 배경으로 한 생태자원 기반 체험형 축제로, 대한민국 여름 대표 축제를 목표로 하고 있다. 주제 체험인 반두잡이와 맨손잡이 체험은 은어 생태를 직접 경험할 수 있는 킬링 콘텐츠이며, 다양한 공연과 은어를 활용한 먹거리 체험, 물놀이 콘텐츠 등이 어우러져 오감을 만족시키는 축제로 운영된다. 기후 변화에 대응하여 샤워장, 그늘막, 휴게공간 등 기반시설과 편의시설도 마련되어 있다.",봉화축제관광재단,054-674-3053,,,20250726,20250803,09:00~22:00,,,입장료 무료 (체험 프로그램 유료),,,,,,,,"행사소개:봉화은어축제는 은어를 테마로 한 이색 여름 물놀이 축제이다. 맑은 계곡과 청정 자연을 배경으로 한 생태자원 기반 체험형 축제로, 대한민국 여름 대표 축제를 목표로 하고 있다. 주제 체험인 반두잡이와 맨손잡이 체험은 은어 생태를 직접 경험할 수 있는 킬링 콘텐츠이며, 다양한 공연과 은어를 활용한 먹거리 체험, 물놀이 콘텐츠 등이 어우러져 오감을 만족시키는 축제로 운영된다. 기후 변화에 대응하여 샤워장, 그늘막, 휴게공간 등 기반시설과 편의시설도 마련되어 있다.
행사내용:1. 체험행사 : 은어반두잡이, 은어맨손잡이, 전국 반두잡이 선발대회, 전국 맨손잡이 선발대회, 캐치미 이프유 캔(외국인 반두잡이 선발대회), 은어 챔피언십 : 연대의 전쟁(봉화군 내 유관기관 참여 맨손잡이 대회), 퐁당! 어린이 워터파크, 내성천 모래놀이장 <br>
2. 공연행사 : 개막식 및 개막축하공연, 제1회 봉화글로벌가요제, 봉화 예술인의 밤, 오! 은어 실버 나잇, 캐치! 티니핑 싱어롱쇼, 창현 거리노래방, 은어와 함께 춤을! 레전드 물벼락쇼, 은어 워터비트 나이트, 봉화로 떠나자! 은어 트롯트레인, 헬로비전 헬로콘서트 좋은날 및 낙화 놀이<br>
3. 주민참여행사 : 딜리버리존, 봉화인 다 보였당, 봉화 사회단체 다 모였당, 은벤져스 서포터즈 캠페인<br>
4. 전시부대행사 : 은어 굿즈샵, 은어 활어  판매장, 은어 힐링 스테이션, 봉화 은어 맛들쉼터, 바삭! 은어 튀김장터, 스타마켓투어<br>
5. 연계행사 : 제20회 가족건강걷기대회<br><br><br>
* 요금 <br>
1. 은어반두잡이체험 <br>
- 일반 : 12,000원(봉화사랑상품권 5,000원 환급)<br>
- 중학생 이하, 국가유공자, 장애인 : 10,000원(봉화사랑상품권 5,000원 환급)<br><br>
2. 은어맨손잡이체험<br> 
- 일반 : 12,000원(봉화사랑상품권 5,000원 환급)<br>
- 중학생 이하, 국가유공자, 장애인 : 10,000원(봉화사랑상품권 5,000원 환급)<br><br>
3. 온라인 사전예매<br>
- 일반: 10,000원<br>
- 중학생 이하, 국가유공자, 장애인: 8,000원<br><br>
3. 어린이 워터파크 : 3,000원(봉화사랑상품권 사용불가)
",선택안함,선택안함
부산바다축제,49522.0,부산광역시,051-713-5000,부산광역시 사하구 다대동다대포 해수욕장,35.0470333131,128.9662222789,"제새롭게 돌아온 '제29회 부산바다축제', 1년에 단 3일만 만나볼 수 있는 부산바다축제가 올해도 진행된다. 부산 여름 대표 축제로 2025년 8월 1일부터 3일까지 총 3일간 개최되며, 다대포 해수욕장 일원에서 진행된다. 다대포 탁 트인 바다와 선셋을 배경으로 펼쳐지는 프로그램은 감각적이고 에너지 넘치는 분위기로 구성 될 예정이다. 특히 올해는 작년과 다른 새롭고 다채로운 프로그램이 신설되어 더욱 생동감 넘치게 진행된다.",부산광역시,051-713-5000,부산축제조직위원회,,20250801,20250803,14:00~22:00,다대포 해수욕장 일원,,무료 (일부유료),,,,,,,,"행사소개:제새롭게 돌아온 '제29회 부산바다축제', 1년에 단 3일만 만나볼 수 있는 부산바다축제가 올해도 진행된다. 부산 여름 대표 축제로 2025년 8월 1일부터 3일까지 총 3일간 개최되며, 다대포 해수욕장 일원에서 진행된다. 다대포 탁 트인 바다와 선셋을 배경으로 펼쳐지는 프로그램은 감각적이고 에너지 넘치는 분위기로 구성 될 예정이다. 특히 올해는 작년과 다른 새롭고 다채로운 프로그램이 신설되어 더욱 생동감 넘치게 진행된다. 
행사내용:1. 메인프로그램<br>- 개막행사<br> - 다대불꽃쇼 <br><br>2. 참여 프로그램 <br>- 다대포차
",선택안함,선택안함
제주 도새기 축제,63039.0,"제주양돈농협, (사)대한한돈협회 제주특별자치도협의회",064-729-7904,제주특별자치도 제주시 애월읍 봉성리산 59-8 제주 새별오름 일원,33.3660202717,126.356162924,"제주에서 가장 맛있는 축제 2024 제주 도새기 축제가 8년만에 다시 돌아온다. 믿을 수 있는 제주산 돼지고기와 누구나 즐길 수 있는 풍성한 즐길거리, 먹거리, 체험행사가 10월 12일(토), ~ 13일(일), 오전 10시 ~ 오후 5시까지 제주 새별오름 일원에서 펼쳐진다. 시중가 보다 최대 30%저렴한 소비촉진 행사와 가수 양지은, 가수 브브걸의 화려한 축하공연 등 다양하고 다채로운 프로그램이 진행된다.","제주양돈농협, (사)대한한돈협회 제주특별자치도협의회",064-729-7904,"(주관)JIBS (후원) 제주특별자치도, 한돈자조금관리위원회, 제주특별자치도관광협회",,20241012,20241013,10:00 ~17:00,새별오름,,무료,,,,,,,,"행사소개:제주에서 가장 맛있는 축제 2024 제주 도새기 축제가 8년만에 다시 돌아온다. 믿을 수 있는 제주산 돼지고기와 누구나 즐길 수 있는 풍성한 즐길거리, 먹거리, 체험행사가 10월 12일(토), ~ 13일(일), 오전 10시 ~ 오후 5시까지 제주 새별오름 일원에서 펼쳐진다. 시중가 보다 최대 30%저렴한 소비촉진 행사와 가수 양지은, 가수 브브걸의 화려한 축하공연 등 다양하고 다채로운 프로그램이 진행된다.
",선택안함,선택안함
진안홍삼축제,55438.0,진안군,063-430-2393,전북특별자치도 진안군 진안읍 마이산로 160,35.773081988,127.4162612489,"*하기 축제 내용은 전년도(2024년) 축제 내용으로, 2025년도 축제 내용은 업데이트 중에 있습니다.*<br><br>대한민국 유일의 홍삼특구인 진안 마이산 북부 일원에서는 매년 가을 홍삼축제가 열린다. 믿고 먹을 수 있는 질 좋은 홍삼과 홍삼으로 만든 다양한 음식들을 맛볼 수 있는 축제로 인기가 많다. 홍삼이 낯선 아이들을 홍삼관련 체험과, 진안홍삼킹덤을 지켜라!(스탬프투어) 등 재미있는 체험프로그램들이 준비되어 있다. 이밖에도 전통공연, 트로트 페스티벌 등 볼거리도 풍성하며 진안군수가 품질을 인증한 믿을 수 있는 고품질의 홍삼제품을 시중가보다 저렴하게 구매할 수 있다.",진안군,063-430-2393,진안홍삼축제추진위원회,,20250926,20250928,10:00~21:00,마이산 북부 일원,,이용료 없음 (일부체험행사 유료),,,,,,,,"행사소개:*하기 축제 내용은 전년도(2024년) 축제 내용으로, 2025년도 축제 내용은 업데이트 중에 있습니다.*<br><br>대한민국 유일의 홍삼특구인 진안 마이산 북부 일원에서는 매년 가을 홍삼축제가 열린다. 믿고 먹을 수 있는 질 좋은 홍삼과 홍삼으로 만든 다양한 음식들을 맛볼 수 있는 축제로 인기가 많다. 홍삼이 낯선 아이들을 홍삼관련 체험과, 진안홍삼킹덤을 지켜라!(스탬프투어) 등 재미있는 체험프로그램들이 준비되어 있다. 이밖에도 전통공연, 트로트 페스티벌 등 볼거리도 풍성하며 진안군수가 품질을 인증한 믿을 수 있는 고품질의 홍삼제품을 시중가보다 저렴하게 구매할 수 있다.
행사내용:대표 프로그램 <br>
1.<br>
- 10:30 ~ 12:30 무대를 빌려드립니다 : 주민자치프로그램, 생활문화예술동호회 등 지역주민이 그동안 갈고 닦은 실력을 뽐내는 무대<br>
- 13:30 ~ 14:30 전북특별자치도 무형유산 진안중평농악 공연 : 전라좌도진안중평굿보존회가 선보이는 전북 무형문화재 시연 공연<br>
- 15:00 ~ 15:30 싸게,싸게 : '빨리, 싸게'를 뜻하는 전라도 사루리로 마당극 형식으로 진행되는 진안 홍삼과 다양한 특산물 현장 판매<br>
- 16:00 ~ 17:00 세계최대홍삼칵테일쇼 : 관광객과 주민 333명이 모여 진안홍삼으로 칵테일 만들기 대동행사(대표프로그램)<br>
- 18:30 ~ 20:00 개막주제공연-불꽃놀이 : 진안의 문화역사 자원을 널리 알리고 지역주민의 자긍심을 높일 수 있는 프로그램(대표프로그램)<br>
- 20:00 ~ 20:30 별별소원행진 : 프로그램 종료 후 마이산의 어두운 밤을 관광객이 밝히고 소원을 비는 행사 선착순 100명에게 LED 쥐불놀이 체험제공<br><br>
2.<br>
- 10:30 ~ 11:00 대동굿 한마당 : 신명나는 대동농악과 길놀이 한마당<br>
- 11:00 ~ 12:00 가족공연(나는고양이로소이다) : 고양이의 눈으로 바라본 인간세상을 유쾌하게 표현한 마당놀이<br>
- 13:00 ~ 16:00 신바람 건강체조&마이산 건강걷기 : 어르신들의 자존감 향상 및 군민 화합을 위한 건강체조 발표회와 건강걷기 프로그램<br>
- 16:00 ~ 16:30 홍삼칵테일체험 : 진안군자원봉사센터가 참여하는 진안홍삼 칵테일 퍼포먼스 및 나눔행사<br>
- 17:00 ~ 17:30 싸게,싸게  : '빨리, 싸게'를 뜻하는 전라도 사루리로 마당극 형식으로 진행되는 진안 홍삼과 다양한 특산물 현장 판매<br>
- 18:00 ~ 20:00 응답하라, 홍삼콘서트 OST 가을음악회 : 가을 마이산의 분위기와 듣는 OST 주제의 가을음악회<br>
- 20:00 ~ 20:30 별별소원행진 : 프로그램 종료 후 마이산의 어두운 밤을 관광객이 밝히고 소원을 비는 행사 선착순 100명에게 LED 쥐불놀이 체험제공<br><br>
3.<br>
- 10:30 ~ 11:30 베베핀 해피콘서트 : 베베핀 가족과 함께하는 싱어롱쇼<br>
- 13:00 ~ 13:30 홍삼칵테일체험 : 진안군자원봉사센터가 참여하는 진안홍삼 칵테일 퍼포먼스 및 나눔행사<br>
- 14:00 ~ 14:30 싸게,싸게  : '빨리, 싸게'를 뜻하는 전라도 사루리로 마당극 형식으로 진행되는 진안 홍삼과 다양한 특산물 현장 판매<br>
- 15:00 ~ 16:00  베베핀 해피콘서트 : 베베핀 가족과 함께하는 싱어롱쇼<br>
- 17:00 ~ 19:30 진안고원 트로트페스티벌 : 정상급 트로트가수들의 열정이 넘치는 무대 공연<br>
- 20:00 ~ 20:30 별별소원행진 : 프로그램 종료 후 마이산의 어두운 밤을 관광객이 밝히고 소원을 비는 행사 선착순 100명에게 LED 쥐불놀이 체험제공<br><br>
4.<br>
- 10:30 ~ 12:30 구름재 박병순 시조시인 전국 시낭송대회 : 시낭송의 예술적 가치를 관객들에게 공유하는 무대<br>
- 15:00 ~ 18:00 진안군 청소년 문화축제 : 진안군 청소년이 기획하고 참여하는 문화축제<br>
- 18:00 ~ 19:00 폐막퍼포먼스-축하공연 : 2025년 진안홍삼축제를 기약하며 축제의 끝을 기념<br><br>

상설행사<br>
- 蔘,蔘한 주제관 : 진안의 인삼과 홍삼을 테마로한 진안고원 브랜드를 관광객에게 홍보하는 홍보관<br>
- 진안홍삼킹덤을 지켜라! : 대표적인 홍삼 효능 4가지를 주제로한 스탬프 투어!
",선택안함,선택안함
독일마을 맥주축제,52448.0,남해군,055-860-8604,경상남도 남해군 삼동면 독일로 89-7삼동면 독일마을,34.8000859569,128.0383624398,"독일마을 맥주축제는 1960년대부터 70년대까지 우리나라 경제발전에 이바지한 파독 광부, 간호사들의 보금자리인 독일마을에서 열리는 이색적인 축제이다. 세계 3대 축제라 불리우는 독일 뮌헨 '옥토버페스트'를 모태로 기획되어, 남해에서 독일맥주 축제장을 몸소 즐길 수 있는 축제이기도 하다. 축제기간동안 매일 떠들썩한 퍼레이드가 열리고, 행사장 곳곳에서 유럽의 문화를 느낄 수 있는 공연 및 체험프로그램과 독일전통 소시지, 맥주를 마음껏 즐길 수 있다.",남해군,055-860-8604,"독일마을맥주축제기획단, 독일마을운영회",,20251002,20251004,10:00~21:30,삼동면 독일마을,,무료,,,,,,,,"행사소개:독일마을 맥주축제는 1960년대부터 70년대까지 우리나라 경제발전에 이바지한 파독 광부, 간호사들의 보금자리인 독일마을에서 열리는 이색적인 축제이다. 세계 3대 축제라 불리우는 독일 뮌헨 '옥토버페스트'를 모태로 기획되어, 남해에서 독일맥주 축제장을 몸소 즐길 수 있는 축제이기도 하다. 축제기간동안 매일 떠들썩한 퍼레이드가 열리고, 행사장 곳곳에서 유럽의 문화를 느낄 수 있는 공연 및 체험프로그램과 독일전통 소시지, 맥주를 마음껏 즐길 수 있다. 
행사내용:1. 메인프로그램 : 유럽문화공연, 퍼레이드, 옥토버나이트, 빅텐트존 운영 등<br>
2. 부대프로그램 : 버스킹, 먹거리 판매부스 운영, 파독광부 간호사와 함께하는 토크콘서트 등<br>
3. 소비자 참여 프로그램 : 유럽문화 체험 프로그램, 맥주빨리 마시기 대회 등 
",선택안함,선택안함
대구치맥페스티벌,42672.0,한국치맥산업협회,053-248-9998,대구광역시 달서구 공원순환로 36 (두류동)두류공원,35.8509409125,128.558813653,"대구치맥페스티벌은 대구를 대표하는 여름 문화관광축제로, ‘치킨’과 ‘맥주’를 결합한 국내 최대 규모의 식음 축제이다. 2013년 처음 개최된 이후 누적 관람객 100만 명 이상을 유치하며, 지역 경제 활성화는 물론 대구의 글로벌 브랜드 가치 제고에도 크게 기여해왔다. 단순한 식음 축제를 넘어 공연, 전시, 체험, 기업 홍보, 글로벌 교류 등 다양한 프로그램을 통해 관람객에게 풍성한 즐길 거리를 제공하고 있으며  2025년 대구치맥페스티벌은 7월 2일부터 6일까지 닷새간 두류공원 일원에서 개최된다. 메인 행사장인 2.28 자유광장은 물놀이와 일렉트로닉 음악이 결합된 워터 콘서트 테마로 꾸며지며, 360도 중앙 무대도 새롭게 도입된다. 그리고 ‘대프리카 워터피아’, ‘블러드 호러 클럽’ 등 다양한 테마 공간이 조성되며, 유명 아티스트와 협업한 조형물 및 포토존을 통해 축제 분위기를 한층 더할 예정이다.",한국치맥산업협회,053-248-9998,대구치맥페스티벌조직위원회,,20250702,20250706,18:00 - 23:00,두류공원,,"무료, 일부 구간 유료(사전예약존 85,000원)",,,,,,,,"행사소개:대구치맥페스티벌은 대구를 대표하는 여름 문화관광축제로, ‘치킨’과 ‘맥주’를 결합한 국내 최대 규모의 식음 축제이다. 2013년 처음 개최된 이후 누적 관람객 100만 명 이상을 유치하며, 지역 경제 활성화는 물론 대구의 글로벌 브랜드 가치 제고에도 크게 기여해왔다. 단순한 식음 축제를 넘어 공연, 전시, 체험, 기업 홍보, 글로벌 교류 등 다양한 프로그램을 통해 관람객에게 풍성한 즐길 거리를 제공하고 있으며  2025년 대구치맥페스티벌은 7월 2일부터 6일까지 닷새간 두류공원 일원에서 개최된다. 메인 행사장인 2.28 자유광장은 물놀이와 일렉트로닉 음악이 결합된 워터 콘서트 테마로 꾸며지며, 360도 중앙 무대도 새롭게 도입된다. 그리고 ‘대프리카 워터피아’, ‘블러드 호러 클럽’ 등 다양한 테마 공간이 조성되며, 유명 아티스트와 협업한 조형물 및 포토존을 통해 축제 분위기를 한층 더할 예정이다. 
행사내용:1. 관람행사<br>- 치맥K-POP 콘서트, 치맥EDM Party, 치맥버스킹, 초청공연<br>2. 참여행사<br>- 치맥아이스펍, 치맥시민참여이벤트, 치킨신메뉴 경연대회, 수제맥주 경연대회<br>3. 체험행사<br>- 사전예약 식음존, 비즈니스라운지, 대프리카워터피아, 치맥더클럽, 놀러와요EGG섬, 치맥여행자의거리, 치맥포토존, 치맥아이스펍, 치맥게임존<br><br>[이용요금]<br>사전예약 프리미엄 좌석<br>- 티켓링크 에서 구매 가능
",선택안함,선택안함
